Serial No,Customer Name,Customer Mobile Number,Customer Email,Account Number,Account Type,Customer Address,Branch Name,IFSC Code,MICR Code,Branch Address,Transaction Date,Transaction Time,Value Date,Description,Cheque Number,Debit,Credit,Balance
50,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,18-09-2023,14:45:00,18-09-2023,Pharmacy Purchase,,1600,,516238.52
51,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,24-09-2023,16:30:00,24-09-2023,Restaurant Payment,,3000,,513238.52
52,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-09-2023,9:30:00,28-09-2023,Salary Credit,,,65000,578238.52
53,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,30-09-2023,23:59:59,30-09-2023,Quarterly Interest Credit,,,5782.39,584020.91
54,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,04-10-2023,11:15:00,04-10-2023,ATM Withdrawal,,12000,,572020.91
55,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,09-10-2023,13:45:00,09-10-2023,Online Shopping - Amazon,,6500,,565520.91
56,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,15-10-2023,15:00:00,15-10-2023,Electricity Bill Payment,,2800,,562720.91
57,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,20-10-2023,10:30:00,20-10-2023,Car Service,,7500,,555220.91
58,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-10-2023,9:30:00,28-10-2023,Salary Credit,,,65000,620220.91
59,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,02-11-2023,14:30:00,02-11-2023,Grocery Shopping,,4500,,615720.91
60,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,07-11-2023,16:15:00,07-11-2023,Mobile Recharge,,1599,,614121.91
61,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,13-11-2023,11:00:00,13-11-2023,Furniture Purchase,,25000,,589121.91
62,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,18-11-2023,13:15:00,18-11-2023,Gas Bill Payment,,1000,,588121.91
63,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,24-11-2023,17:30:00,24-11-2023,Book Store Purchase,,1800,,586321.91
64,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-11-2023,9:30:00,28-11-2023,Salary Credit,,,65000,651321.91
65,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,03-12-2023,10:00:00,03-12-2023,Health Insurance Premium,,12000,,639321.91
66,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,08-12-2023,15:45:00,08-12-2023,Clothing Store Purchase,,7000,,632321.91
67,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,14-12-2023,12:30:00,14-12-2023,Internet Bill Payment,,1200,,631121.91
68,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,19-12-2023,14:00:00,19-12-2023,Pharmacy Purchase,,2500,,628621.91
69,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,25-12-2023,16:45:00,25-12-2023,Restaurant Payment,,3500,,625121.91
70,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-12-2023,9:30:00,28-12-2023,Salary Credit,,,65000,690121.91
71,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,31-12-2023,23:59:59,31-12-2023,Quarterly Interest Credit,,,6901.22,697023.13
72,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,05-01-2024,11:45:00,05-01-2024,ATM Withdrawal,,15000,,682023.13
73,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,11-01-2024,13:30:00,11-01-2024,Online Shopping - Flipkart,,8000,,674023.13
74,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,17-01-2024,15:15:00,17-01-2024,Electricity Bill Payment,,3000,,671023.13
75,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,22-01-2024,10:45:00,22-01-2024,Movie Tickets,,1000,,670023.13
76,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-01-2024,9:30:00,28-01-2024,Salary Credit,,,65000,735023.13
77,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,02-02-2024,14:00:00,02-02-2024,Grocery Shopping,,5000,,730023.13
78,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,07-02-2024,16:30:00,07-02-2024,Mobile Recharge,,1799,,728224.13
79,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,13-02-2024,11:15:00,13-02-2024,Gift Shop Purchase,,4000,,724224.13
80,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,18-02-2024,13:45:00,18-02-2024,Gas Bill Payment,,1050,,723174.13
81,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,24-02-2024,17:00:00,24-02-2024,Gym Membership Fee,,6000,,717174.13
82,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-02-2024,9:30:00,28-02-2024,Salary Credit,,,65000,782174.13
83,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,04-03-2024,10:30:00,04-03-2024,Health Insurance Premium,,12000,,770174.13
84,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,09-03-2024,15:00:00,09-03-2024,Clothing Store Purchase,,6500,,763674.13
85,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,15-03-2024,12:45:00,15-03-2024,Internet Bill Payment,,1200,,762474.13
86,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,20-03-2024,14:15:00,20-03-2024,Pharmacy Purchase,,1800,,760674.13
87,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,26-03-2024,16:30:00,26-03-2024,Restaurant Payment,,3200,,757474.13
88,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-03-2024,9:30:00,28-03-2024,Salary Credit,,,65000,822474.13
89,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,31-03-2024,23:59:59,31-03-2024,Quarterly Interest Credit,,,8224.74,830698.87
90,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,04-04-2024,11:00:00,04-04-2024,ATM Withdrawal,,10000,,820698.87
91,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,09-04-2024,13:15:00,09-04-2024,Online Shopping - Myntra,,7500,,813198.87
92,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,15-04-2024,15:30:00,15-04-2024,Electricity Bill Payment,,3200,,809998.87
93,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,20-04-2024,10:15:00,20-04-2024,Car Insurance Premium,,15000,,794998.87
94,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-04-2024,9:30:00,28-04-2024,Salary Credit,,,65000,859998.87
95,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,03-05-2024,14:45:00,03-05-2024,Grocery Shopping,,5500,,854498.87
96,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,08-05-2024,16:00:00,08-05-2024,Mobile Recharge,,1999,,852499.87
97,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,14-05-2024,11:30:00,14-05-2024,Home Appliance Purchase,,20000,,832499.87
98,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,19-05-2024,13:00:00,19-05-2024,Gas Bill Payment,,1100,,831399.87
99,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,25-05-2024,17:15:00,25-05-2024,Book Store Purchase,,2000,,829399.87
100,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-05-2024,9:30:00,28-05-2024,Salary Credit,,,65000,894399.87
101,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,02-06-2024,10:45:00,02-06-2024,Health Insurance Premium,,12000,,882399.87
102,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,07-06-2024,15:30:00,07-06-2024,Clothing Store Purchase,,8000,,874399.9
103,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,12-06-2024,12:00:00,12-06-2024,Restaurant Bill,,3500,,870899.87
104,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,18-06-2024,14:30:00,18-06-2024,Internet Bill Payment,,1800,,869099.87
105,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,23-06-2024,16:45:00,23-06-2024,Movie Tickets,,1000,,868099.87
106,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-06-2024,9:30:00,28-06-2024,Salary Credit,,,65000,933099.87
107,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,30-06-2024,23:59:59,30-06-2024,Quarterly Interest Credit,,,9330.99,942430.86
108,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,05-07-2024,11:15:00,05-07-2024,Super03ket Purchase,,7500,,934930.86
109,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,10-07-2024,13:30:00,10-07-2024,Gym Membership Renewal,,12000,,922930.86
110,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,16-07-2024,15:00:00,16-07-2024,Electricity Bill Payment,,3500,,919430.86
111,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,21-07-2024,10:30:00,21-07-2024,Online Course Subscription,,5000,,914430.86
112,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,26-07-2024,14:15:00,26-07-2024,Fuel Purchase,,2000,,912430.86
113,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-07-2024,9:30:00,28-07-2024,Salary Credit,,,65000,977430.86
114,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,31-07-2024,17:00:00,31-07-2024,Cheque Deposit,123456,,15000,992430.86
115,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,15-01-2024,9:30:00,15-01-2024,Cash Deposit,,,50000,50000
116,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,18-01-2024,14:45:00,18-01-2024,ATM Withdrawal,,5000,,45000
117,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,22-01-2024,11:20:00,22-01-2024,Online Shopping - Amazon,,2500,,42500
118,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,25-01-2024,10:00:00,25-01-2024,Salary Credit,,,65000,107500
119,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,28-01-2024,16:30:00,28-01-2024,Electricity Bill Payment,,1800,,105700
120,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,02-02-2024,13:15:00,02-02-2024,Grocery Shopping,,3500,,102200
121,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,07-02-2024,9:45:00,07-02-2024,Mobile Recharge,,999,,101201
122,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,15-02-2024,11:30:00,15-02-2024,SIP Investment,,5000,,96201
123,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,20-02-2024,14:00:00,20-02-2024,Restaurant Bill,,2800,,93401
124,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,25-02-2024,10:00:00,25-02-2024,Salary Credit,,,65000,158401
125,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,29-02-2024,16:45:00,29-02-2024,Electricity Bill Payment,,1750,,156651
126,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,05-03-2024,12:30:00,05-03-2024,Fuel Refill,,2000,,154651
127,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,10-03-2024,15:20:00,10-03-2024,Movie Tickets,,800,,153851
128,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,15-03-2024,11:30:00,15-03-2024,SIP Investment,,5000,,148851
129,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,20-03-2024,9:15:00,20-03-2024,Medical Expenses,,3500,,145351
130,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,25-03-2024,10:00:00,25-03-2024,Salary Credit,,,65000,210351
131,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,31-03-2024,23:59:00,31-03-2024,Quarterly Interest Credit,,,1668,212019
132,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,03-04-2024,14:30:00,03-04-2024,Online Shopping - Flipkart,,4500,,207519
133,Customer2,1234500002,c2@gmail.com,2,Savings ,Customer_Address2,Branch2,BARB0IFSC2,MICR2,Branch_Address2,08-04-2024,11:00:00,08-04-2024,Insurance Premium,,12000,,195519
